,Category,Rating,Reviews,Size,Type,Price,Content Rating,Genres,Installs
0,0.0,0.7749999999999999,3.519410114789125e-06,0.018126888217522657,0.0,0.0,0.25,0.06666666666666667,10000
1,0.0,0.725,2.1517406144849967e-05,0.013091641490433032,0.0,0.0,0.25,0.06666666666666667,500000
2,0.0,0.925,0.0019492408843992503,0.007754279959718026,0.0,0.0,0.25,0.06666666666666667,5000000
3,0.0,0.875,0.004803393388502983,0.02416918429003021,0.0,0.0,1.0,0.06666666666666667,50000000
4,0.0,0.825,2.1517406144849967e-05,0.0018126888217522659,0.0,0.0,0.25,0.06666666666666667,100000
5,0.0,0.8500000000000001,3.6976080952847765e-06,0.004632426988922457,0.0,0.0,0.25,0.06666666666666667,50000
6,0.0,0.7,3.942630318466299e-06,0.018126888217522657,0.0,0.0,0.25,0.06666666666666667,50000
7,0.0,0.7749999999999999,0.0008200225567458661,0.028197381671701913,0.0,0.0,0.25,0.06666666666666667,1000000
8,0.0,0.8500000000000001,0.00030716876887937995,0.032225579053373615,0.0,0.0,0.25,0.06666666666666667,1000000
9,0.0,0.925,2.672969707434778e-06,0.0021148036253776435,0.0,0.0,0.25,0.06666666666666667,10000
10,0.0,0.8500000000000001,0.0003091512214123941,0.027190332326283987,0.0,0.0,0.25,0.06666666666666667,1000000
11,0.0,0.8500000000000001,0.00019572820682691163,0.01107754279959718,0.0,0.0,0.25,0.06666666666666667,1000000
12,0.0,0.8,0.0009985323837073854,0.019133937562940583,0.0,0.0,1.0,0.06666666666666667,10000000
13,0.0,0.8999999999999999,9.633828320546179e-05,0.02014098690835851,0.0,0.0,0.25,0.06666666666666667,100000
14,0.0,0.8500000000000001,3.379079205148799e-05,0.036253776435045314,0.0,0.0,0.25,0.06666666666666667,100000
15,0.0,0.925,8.0879608397464e-05,0.004531722054380664,0.0,0.0,0.25,0.06666666666666667,500000
16,0.0,0.875,5.791434366108686e-07,0.016112789526686808,0.0,0.0,0.25,0.06666666666666667,10000
17,0.0,0.825,0.004326090097745379,0.038267875125881166,0.0,0.0,0.25,0.06666666666666667,5000000
18,0.0,0.8999999999999999,0.004998408803407912,0.030211480362537763,0.0,0.0,0.25,0.06666666666666667,10000000
19,0.0,0.75,1.0001361655318462e-05,0.013091641490433032,0.0,0.0,0.25,0.06666666666666667,100000
20,0.0,0.7749999999999999,1.4545410157957584e-05,0.01107754279959718,0.0,0.0,0.25,0.06666666666666667,100000
21,0.0,0.925,0.000171471006731941,0.0032225579053373615,0.0,0.0,0.5,0.06666666666666667,500000
22,0.0,0.925,2.606145464748909e-06,0.02215508559919436,0.0,0.0,0.25,0.06666666666666667,50000
23,0.0,0.95,4.25447678433369e-06,0.005035246727089627,0.0,0.0,0.25,0.06666666666666667,10000
24,0.0,0.925,0.00045126411085767644,0.02416918429003021,0.0,0.0,0.25,0.06666666666666667,500000
25,0.0,0.7749999999999999,4.4994990075152105e-06,0.0051359516616314195,0.0,0.0,0.25,0.06666666666666667,100000
26,0.0,0.725,3.0070909208641257e-06,0.0036253776435045317,0.0,0.0,0.25,0.06666666666666667,10000
27,0.0,0.7749999999999999,4.94499395875434e-06,0.0032225579053373615,0.0,0.0,0.25,0.06666666666666667,100000
28,0.0,0.8,2.492544252182931e-05,0.00825780463242699,0.0,0.0,0.25,0.06666666666666667,100000
29,0.0,0.7749999999999999,5.034092949002166e-06,0.004229607250755287,0.0,0.0,0.25,0.06666666666666667,50000
30,0.0,0.875,0.00011213107922688894,0.010070493454179253,0.0,0.0,0.25,0.06666666666666667,100000
31,0.0,0.8,2.258659402782388e-05,0.010070493454179253,0.0,0.0,0.25,0.06666666666666667,100000
32,0.0,0.925,7.840711141808683e-06,0.0032225579053373615,0.0,0.0,1.0,0.06666666666666667,10000
33,0.0,0.7,1.2540682877381502e-05,0.00825780463242699,0.0,0.0,0.25,0.06666666666666667,100000
34,0.0,0.925,0.00018140554414457363,0.023162134944612285,0.0,0.0,0.25,0.06666666666666667,500000
35,0.0,0.7749999999999999,0.0008161022011749618,0.0,0.0,0.0,0.25,0.06666666666666667,5000000
36,0.0,0.925,3.4971353672271683e-06,0.010070493454179253,0.0,0.0,0.25,0.06666666666666667,10000
37,0.0,0.75,1.3142101061554327e-05,0.008459214501510576,0.0,0.0,0.25,0.06666666666666667,500000
38,0.0,0.8,2.5838707171869524e-06,0.014098690835850955,0.0,0.0,0.25,0.06666666666666667,10000
39,0.0,0.875,3.8980808233423855e-06,0.00906344410876133,0.0,0.0,0.25,0.06666666666666667,100000
40,0.0,0.8500000000000001,0.006575950975240794,0.0,0.0,0.0,0.25,0.06666666666666667,10000000
41,0.0,0.7,4.9115818374114054e-05,0.0002014098690835851,0.0,0.0,0.25,0.06666666666666667,100000
42,0.0,0.8,5.568686890489122e-07,0.01107754279959718,0.0,0.0,0.25,0.06666666666666667,10000
43,0.0,0.925,0.0038876116919882653,0.023162134944612285,0.0,0.0,0.25,0.06666666666666667,10000000
44,0.0,0.8999999999999999,2.3811705143731484e-05,0.025176233635448138,0.0,0.0,0.25,0.06666666666666667,100000
45,0.0,0.8,1.8710787952043448e-06,0.007049345417925478,0.0,0.0,0.25,0.06666666666666667,100000
46,0.0,0.825,1.8799886942291276e-05,0.006948640483383685,0.0,0.0,0.25,0.06666666666666667,100000
47,0.03125,0.8,8.152557607676073e-06,0.02416918429003021,0.0,0.0,0.25,0.08888888888888889,100000
48,0.03125,0.75,3.5572771856444507e-05,0.0553877139979859,0.0,0.0,0.25,0.08888888888888889,1000000
